"stripped_cell_line_name","cell_line_name","Sample Name","CCLE_Name","alias","DepMap_ID","COSMIC identifier","Sanger_Model_ID","master_ccl_id","sampleid","Cellosaurus.Accession.id","sex","age","ds_group","ds_type","ds_subtype","characteristics","primary_site","sample_site","metastatic","primary_or_metastasis","depmap_public_comments"
"HAC2","HAC-2",NA,"HAC2_OVARY",NA,"ACH-001512",NA,NA,NA,NA,NA,"Female",NA,"Urogenital","Ovarian","Clear cell",NA,NA,"ascites",TRUE,"Metastasis",NA
"HACAT","HaCaT",NA,"HACAT_SKIN",NA,"ACH-002712",NA,NA,NA,NA,NA,"Male",62,"Skin","Skin carcinoma","NOS",NA,NA,"skin",NA,NA,NA
"HAED",NA,NA,"HAED_CENTRAL_NERVOUS_SYSTEM",NA,"ACH-001076",NA,NA,NA,NA,NA,"Unknown",NA,"Engineered","Engineered","NOS",NA,NA,"central_nervous_system",NA,NA,NA
"HAL01","HAL-01","HAL-01","HAL01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002241",949153,"SIDM00289",NA,NA,NA,"Unknown",NA,"Lymphoid","B-cell leukemia","B-cell acute lymphoblastic leukemia (B-ALL)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"HAP1","HAP1",NA,"HAP1_ENGINEERED",NA,"ACH-002475",NA,NA,NA,NA,NA,"Male",40,"Engineered","Engineered","NOS",NA,NA,"bone_marrow",NA,NA,"Engineered haploid line"
"HAP1MLH1KO","HAP1MLH1KO",NA,"HAP1MLH1KO_ENGINEERED",NA,"ACH-002476",NA,NA,NA,NA,NA,"Male",40,"Engineered","Engineered","NOS",NA,NA,"engineered",NA,NA,"Engineered haploid line, edited by CRISPR/Cas9 to contain a 13bp deletion in a coding exon of MLH1"
"HARA","HARA","HARA","HARA_LUNG",NA,"ACH-000843",1240142,"SIDM00598",293,"HARA [Human squamous cell lung carcinoma]","CVCL_2914","Male",57,"Lung","Lung","Small cell (SCLC)",NA,"lung","pleural_effusion",TRUE,"Metastasis",NA
"HB1119","HB1119",NA,"HB1119_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-001736",NA,NA,NA,NA,NA,"Unknown",NA,"Lymphoid","B-cell leukemia","B-cell acute lymphoblastic leukemia (B-ALL)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"HBL1",NA,NA,"HBL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","HBL-1","ACH-001077",NA,NA,NA,NA,NA,"Unknown",NA,"Lymphoid","Lymphoma","Diffuse large B-cell (DLBCL)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"HBL100","HBL100",NA,"HBL100_BREAST",NA,"ACH-002321",NA,NA,NA,NA,NA,"Unknown",NA,"Breast","Breast","NOS",NA,NA,"-1",NA,NA,NA
"HC1","HC-1","HC-1","HC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002242",907044,"SIDM01073",NA,NA,NA,"Unknown",NA,"Lymphoid","B-cell leukemia","Hairy cell leukemia (HCL)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"HCA1","HCA-1",NA,"HCA1_CERVIX",NA,"ACH-001513",NA,NA,NA,NA,NA,"Female",NA,"Urogenital","Cervical","Adenocarcinoma",NA,NA,"cervix",TRUE,"Metastasis",NA
"HCC1008","HCC1008",NA,"HCC1008_BREAST",NA,"ACH-001514",NA,NA,NA,NA,NA,"Female",67,"Breast","Breast","Ductal","ERpos; HER2pos",NA,"lymph_node",TRUE,"Metastasis",NA
"HCC1143","HCC1143","HCC1143","HCC1143_BREAST",NA,"ACH-000374",749710,"SIDM00866",295,"HCC1143","CVCL_1245","Female",52,"Breast","Breast","Ductal","ERneg; HER2neg; Basal A","breast","breast",NA,"Primary",NA
"HCC1143BL","HCC1143BL",NA,"HCC1143_MATCHED_NORMAL_TISSUE",NA,"ACH-002378",NA,"SIDM00868",NA,NA,NA,"Unknown",NA,"Non-cancerous","Non-cancerous","NOS",NA,NA,"matched_normal_tissue",NA,NA,NA
"HCC1171","HCC-1171",NA,"HCC1171_LUNG",NA,"ACH-000578",NA,NA,296,"HCC1171","CVCL_5126","Male",58,"Lung","Lung","Small cell (SCLC)",NA,"lung","lung",NA,"Primary",NA
"HCC1187","HCC1187","HCC1187","HCC1187_BREAST",NA,"ACH-000111",749711,"SIDM00885",NA,NA,NA,"Female",41,"Breast","Breast","Ductal","ERneg; HER2neg; Basal A",NA,"breast",NA,"Primary",NA
"HCC1187BL","HCC1187BL",NA,"HCC1187_MATCHED_NORMAL_TISSUE",NA,"ACH-002373",NA,"SIDM00869",NA,NA,NA,"Unknown",NA,"Non-cancerous","Non-cancerous","NOS",NA,NA,"matched_normal_tissue",NA,NA,NA
"HCC1195","HCC-1195",NA,"HCC1195_LUNG",NA,"ACH-000868",NA,NA,298,"HCC1195","CVCL_5127","Male",47,"Lung","Lung","Small cell (SCLC)",NA,"lung","lung",NA,"Primary",NA
"HCC1359","HCC-1359",NA,"HCC1359_LUNG",NA,"ACH-000901",NA,NA,NA,NA,NA,"Female",55,"Lung","Lung","Small cell (SCLC)",NA,NA,"lung",NA,"Primary",NA
"HCC1395","HCC1395","HCC1395","HCC1395_BREAST",NA,"ACH-000699",749712,"SIDM00884",300,"HCC1395","CVCL_1249","Female",43,"Breast","Breast","Ductal","ERneg; HER2neg; Basal B","breast","breast",NA,"Primary",NA
"HCC1395BL","HCC1395BL",NA,"HCC1395_MATCHED_NORMAL_TISSUE",NA,"ACH-002382",NA,"SIDM00883",NA,NA,NA,"Unknown",NA,"Non-cancerous","Non-cancerous","NOS",NA,NA,"matched_normal_tissue",NA,NA,NA
"HCC1419","HCC1419","HCC1419","HCC1419_BREAST",NA,"ACH-000277",907045,"SIDM00882",301,"HCC1419","CVCL_1251","Female",42,"Breast","Breast","Ductal","ERpos; HER2pos","breast","breast",NA,"Primary",NA
"HCC1428","HCC1428","HCC1428","HCC1428_BREAST",NA,"ACH-000352",1290905,"SIDM00881",302,"HCC1428","CVCL_1252","Female",49,"Breast","Breast","Adenocarcinoma","ERpos; HER2neg; Luminal","breast","pleural_effusion",TRUE,"Metastasis",NA
"HCC1428BL","HCC1428-BL",NA,"HCC1428BL_MATCHED_NORMAL_TISSUE",NA,"ACH-002609",NA,"SIDM00880",NA,NA,NA,"Unknown",NA,"Engineered","Engineered","NOS",NA,NA,"Unknown",NA,NA,NA
"HCC1438","HCC-1438",NA,"HCC1438_LUNG",NA,"ACH-000891",NA,NA,303,"HCC1438","CVCL_L088","Male",43,"Lung","Lung","Small cell (SCLC)",NA,"lung","lung",NA,"Primary",NA
"HCC15","HCC-15","HCC-15","HCC15_LUNG",NA,"ACH-000878",1240143,"SIDM01072",304,"HCC15","CVCL_2057","Male",47,"Lung","Lung","Small cell (SCLC)",NA,"lung","lung",NA,"Primary",NA
"HCC1500","HCC1500","HCC1500","HCC1500_BREAST",NA,"ACH-000349",1303900,"SIDM00879",305,"HCC1500","CVCL_1254","Female",32,"Breast","Breast","Ductal","ERpos; HER2neg; Luminal","breast","breast",NA,"Primary",NA
"HCC1569","HCC1569","HCC1569","HCC1569_BREAST",NA,"ACH-000930",907046,"SIDM00878",306,"HCC1569","CVCL_1255","Female",70,"Breast","Breast","Ductal","ERneg; HER2pos; Basal A","breast","breast",NA,"Primary",NA
"HCC1588","HCC-1588",NA,"HCC1588_LUNG",NA,"ACH-001078",NA,NA,307,"HCC1588","CVCL_A351","Female",63,"Lung","Lung","Small cell (SCLC)",NA,"lung","lung",NA,"Primary",NA
"HCC1599","HCC1599","HCC1599","HCC1599_BREAST",NA,"ACH-000196",749713,"SIDM00877",NA,NA,NA,"Female",44,"Breast","Breast","Ductal","ERneg; HER2neg; Basal A",NA,"breast",NA,"Primary",NA
"HCC1599BL","HCC1599BL",NA,"HCC1599_MATCHED_NORMAL_TISSUE",NA,"ACH-002374",NA,"SIDM00876",NA,NA,NA,"Unknown",NA,"Non-cancerous","Non-cancerous","NOS",NA,NA,"matched_normal_tissue",NA,NA,NA
"HCC1739","HCC1739",NA,"HCC1739_BREAST",NA,"ACH-001822",NA,NA,NA,NA,NA,"Unknown",NA,"Breast","Breast","NOS",NA,NA,"breast",NA,"Primary",NA
"HCC1739BL","HCC1739 BL",NA,"HCC1739BL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-001828",NA,NA,NA,NA,NA,"Unknown",NA,"Breast","Breast","Ductal",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"HCC1806","HCC1806","HCC1806","HCC1806_BREAST",NA,"ACH-000624",907047,"SIDM00875",309,"HCC1806","CVCL_1258","Female",60,"Breast","Breast","Ductal","ERneg; HER2neg; Basal A","breast","breast",NA,"Primary",NA
"HCC1833","HCC-1833",NA,"HCC1833_LUNG",NA,"ACH-000712",NA,NA,310,"HCC1833","CVCL_5129","Female",69,"Lung","Lung","Small cell (SCLC)",NA,"lung","lung",NA,"Primary",NA
"HCC1897",NA,NA,"HCC1897_LUNG",NA,"ACH-001079",NA,NA,NA,NA,NA,"Male",NA,"Lung","Lung","Small cell (SCLC)",NA,NA,"lung",NA,NA,NA
"HCC1937","HCC1937","HCC1937","HCC1937_BREAST",NA,"ACH-000223",749714,"SIDM00874",313,"HCC1937","CVCL_0290","Female",24,"Breast","Breast","Ductal","ERneg; HER2neg; Basal A","breast","breast",NA,"Primary",NA
"HCC1937BL","HCC1937BL",NA,"HCC1937_MATCHED_NORMAL_TISSUE",NA,"ACH-002375",NA,"SIDM00873",NA,NA,NA,"Unknown",NA,"Non-cancerous","Non-cancerous","NOS",NA,NA,"matched_normal_tissue",NA,NA,NA
"HCC1954","HCC1954","HCC1954","HCC1954_BREAST",NA,"ACH-000859",749709,"SIDM00872",314,"HCC1954","CVCL_1259","Female",61,"Breast","Breast","Ductal","ERneg; HER2pos; Basal A","breast","breast",NA,"Primary",NA
"HCC1954BL","HCC1954BL",NA,"HCC1954_MATCHED_NORMAL_TISSUE",NA,"ACH-002384",NA,"SIDM00871",NA,NA,NA,"Unknown",NA,"Non-cancerous","Non-cancerous","NOS",NA,NA,"matched_normal_tissue",NA,NA,NA
"HCC202","HCC202","HCC202","HCC202_BREAST",NA,"ACH-000725",1290906,"SIDM00870",315,"HCC202","CVCL_2062","Female",82,"Breast","Breast","Ductal","ERneg; HER2pos","breast","breast",NA,"Primary",NA
"HCC2108","HCC-2108",NA,"HCC2108_LUNG",NA,"ACH-000314",NA,NA,316,"HCC2108","CVCL_A352","Male",59,"Lung","Lung","Small cell (SCLC)",NA,"lung","lung",NA,"Primary",NA
"HCC2157","HCC2157","HCC2157","HCC2157_BREAST",NA,"ACH-000691",749715,"SIDM00774",NA,NA,NA,"Female",48,"Breast","Breast","Ductal","ERneg; HER2neg; Basal A",NA,"breast",NA,"Primary",NA
"HCC2157BL","HCC2157BL",NA,"HCC2157_MATCHED_NORMAL_TISSUE",NA,"ACH-002381",NA,"SIDM00773",NA,NA,NA,"Unknown",NA,"Non-cancerous","Non-cancerous","NOS",NA,NA,"matched_normal_tissue",NA,NA,NA
"HCC2185","HCC2185",NA,"HCC2185_BREAST",NA,"ACH-002322",NA,NA,NA,NA,NA,"Unknown",NA,"Breast","Breast","NOS",NA,NA,"pleural_effusion",TRUE,"Metastasis",NA
"HCC2218","HCC2218","HCC2218","HCC2218_BREAST",NA,"ACH-000755",749716,"SIDM00772",318,"HCC2218","CVCL_1263","Female",38,"Breast","Breast","Ductal","ERneg; HER2pos","breast","breast",NA,"Primary",NA
"HCC2218BL","HCC2218BL",NA,"HCC2218_MATCHED_NORMAL_TISSUE",NA,"ACH-002383",NA,"SIDM00696",NA,NA,NA,"Unknown",NA,"Non-cancerous","Non-cancerous","NOS",NA,NA,"matched_normal_tissue",NA,NA,NA
"HCC2279","HCC-2279",NA,"HCC2279_LUNG",NA,"ACH-000731",NA,NA,319,"HCC2279","CVCL_5131","Female",52,"Lung","Lung","Small cell (SCLC)",NA,"lung","lung",NA,"Primary",NA
"HCC2373",NA,NA,"HCC2373_LUNG",NA,"ACH-001080",NA,NA,NA,NA,NA,"Male",NA,"Lung","Lung","Small cell (SCLC)",NA,NA,"lung",NA,NA,NA
"HCC2429",NA,NA,"HCC2429_LUNG",NA,"ACH-000143",NA,NA,NA,NA,NA,"Female",34,"Lung","Lung","Small cell (SCLC)",NA,NA,"lung",NA,NA,NA
"HCC2450",NA,NA,"HCC2450_LUNG",NA,"ACH-000975",NA,NA,NA,NA,NA,"Male",52,"Lung","Lung","Small cell (SCLC)",NA,NA,"lung",NA,NA,NA
"HCC2688","HCC2688",NA,"HCC2688_BREAST",NA,"ACH-002323",NA,NA,NA,NA,NA,"Unknown",NA,"Breast","Breast","NOS",NA,NA,"breast",NA,NA,NA
"HCC2814","HCC-2814",NA,"HCC2814_LUNG",NA,"ACH-000690",NA,NA,NA,NA,NA,"Male",NA,"Lung","Lung","Small cell (SCLC)",NA,NA,"lung",NA,NA,NA
"HCC2935","HCC2935",NA,"HCC2935_LUNG",NA,"ACH-000150",NA,NA,324,"HCC2935","CVCL_1265","Male",39,"Lung","Lung","Small cell (SCLC)",NA,"lung","pleural_effusion",NA,"Primary",NA
"HCC2998",NA,"HCC2998","HCC2998_LARGE_INTESTINE",NA,"ACH-001081",905971,"SIDM00118",NA,NA,NA,"Unknown",NA,"Gastrointestinal","Colorectal","Adenocarcinoma",NA,NA,"large_intestine",NA,NA,NA
"HCC3153","HCC3153",NA,"HCC3153_BREAST",NA,"ACH-002324",NA,NA,NA,NA,NA,"Unknown",NA,"Breast","Breast","NOS",NA,NA,"breast",NA,NA,NA
"HCC33","HCC-33","HCC-33","HCC33_LUNG",NA,"ACH-000515",1303901,"SIDM01071",326,"HCC33","CVCL_2058","Male",52,"Lung","Lung","Small cell (SCLC)",NA,"lung","pleural_effusion",TRUE,"Metastasis",NA
"HCC364",NA,NA,"HCC364_LUNG",NA,"ACH-000575",NA,NA,NA,NA,NA,"Male",NA,"Lung","Lung","Small cell (SCLC)",NA,NA,"lung",NA,NA,NA
"HCC366","HCC-366","HCC-366","HCC366_LUNG",NA,"ACH-000840",1240144,"SIDM01070",328,"HCC366","CVCL_2059","Female",80,"Lung","Lung","Small cell (SCLC)",NA,"lung","lung",NA,"Primary",NA
"HCC38","HCC38","HCC38","HCC38_BREAST",NA,"ACH-000276",749717,"SIDM00675",330,"HCC38","CVCL_1267","Female",50,"Breast","Breast","Ductal","ERneg; HER2neg; Basal A","breast","breast",NA,"Primary",NA
"HCC38BL","HCC38BL",NA,"HCC38_MATCHED_NORMAL_TISSUE",NA,"ACH-002377",NA,"SIDM00674",NA,NA,NA,"Unknown",NA,"Non-cancerous","Non-cancerous","NOS",NA,NA,"matched_normal_tissue",NA,NA,NA
"HCC4006","HCC4006",NA,"HCC4006_LUNG",NA,"ACH-000066",NA,NA,331,"HCC4006","CVCL_1269","Male",NA,"Lung","Lung","Small cell (SCLC)",NA,"lung","pleural_effusion",TRUE,"Metastasis",NA
"HCC44","HCC-44","HCC-44","HCC44_LUNG",NA,"ACH-000667",1240145,"SIDM01069",332,"HCC44","CVCL_2060","Female",54,"Lung","Lung","Small cell (SCLC)",NA,"lung","lung",NA,"Primary",NA
"HCC461",NA,NA,"HCC461_LUNG",NA,"ACH-000339",NA,NA,NA,NA,NA,"Male",NA,"Lung","Lung","Small cell (SCLC)",NA,NA,"lung",NA,NA,NA
"HCC515","HCC515",NA,"HCC515_LUNG",NA,"ACH-000872",NA,NA,NA,NA,NA,"Female",NA,"Lung","Lung","Small cell (SCLC)",NA,NA,"lung",NA,NA,NA
"HCC56","HCC-56","HCC-56","HCC56_LARGE_INTESTINE",NA,"ACH-000467",1290907,"SIDM00597",337,"HCC-56","CVCL_2917","Unknown",NA,"Gastrointestinal","Colorectal","Adenocarcinoma",NA,"large_intestine","large_intestine",NA,NA,NA
"HCC70","HCC70","HCC70","HCC70_BREAST",NA,"ACH-000668",907048,"SIDM00673",NA,NA,NA,"Female",49,"Breast","Breast","Ductal","ERneg; HER2neg; Basal A",NA,"breast",NA,"Primary",NA
"HCC78","HCC-78","HCC-78","HCC78_LUNG",NA,"ACH-000562",1290908,"SIDM01068",339,"HCC78","CVCL_2061","Male",65,"Lung","Lung","Small cell (SCLC)",NA,"lung","pleural_effusion",TRUE,"Metastasis",NA
"HCC827","HCC827","HCC-827","HCC827_LUNG",NA,"ACH-000012",1240146,"SIDM01067",340,"HCC827","CVCL_2063","Female",39,"Lung","Lung","Small cell (SCLC)",NA,"lung","lung",NA,"Primary",NA
"HCC827GR","HCC827GR",NA,"HCC827GR_LUNG",NA,"ACH-002333",NA,NA,NA,NA,NA,"Unknown",NA,"Lung","Lung","NOS",NA,NA,"lung",NA,NA,NA
"HCC827GR5","HCC-827-GR5",NA,"HCC827GR5_LUNG","HCC827 GR5","ACH-000029",NA,NA,NA,NA,NA,"Female",39,"Lung","Lung","Small cell (SCLC)",NA,NA,"lung",NA,"Primary",NA
"HCC95","HCC-95",NA,"HCC95_LUNG",NA,"ACH-000454",NA,NA,342,"HCC95","CVCL_5137","Male",65,"Lung","Lung","Small cell (SCLC)",NA,"lung","pleural_effusion",TRUE,"Metastasis",NA
"HCE4","HCE-4","HCE-4","HCE4_OESOPHAGUS",NA,"ACH-002243",753559,"SIDM00052",NA,NA,NA,"Unknown",NA,"Gastrointestinal","Esophageal","Squamous",NA,NA,"oesophagus",NA,NA,NA
"HCE7","HCE-7",NA,"HCE7_OESOPHAGUS",NA,"ACH-002599",NA,"SIDM00067",NA,NA,NA,"Unknown",NA,"Gastrointestinal","Esophageal","Squamous",NA,NA,"Unknown",NA,NA,NA
"HCET","HCET",NA,"HCET_UPPER_AERODIGESTIVE_TRACT",NA,"ACH-002336",NA,"SIDM00075",NA,NA,NA,"Unknown",NA,"Non-cancerous","Non-cancerous","Corneal epithelial cell",NA,NA,"eye",NA,NA,NA
"HCS2","HCS-2",NA,"HCS2_CERVIX",NA,"ACH-001515",NA,NA,NA,NA,NA,"Female",42,"Urogenital","Cervical","Squamous",NA,NA,"cervix",TRUE,"Metastasis",NA
"HCSC1","HCSC-1",NA,"HCSC1_CERVIX",NA,"ACH-001516",NA,NA,NA,NA,NA,"Female",48,"Urogenital","Cervical","NOS",NA,NA,"ascites",NA,"Primary",NA
"HCT116","HCT 116","HCT-116","HCT116_LARGE_INTESTINE",NA,"ACH-000971",905936,"SIDM00783",343,"HCT 116","CVCL_0291","Male",NA,"Gastrointestinal","Colorectal","Adenocarcinoma",NA,"large_intestine","large_intestine",NA,"Primary",NA
"HCT116ARID1AHOM","HCT116ARID1AWT, HCT116ARID1AHOM",NA,"HCT116ARID1AHOM_LARGE_INTESTINE",NA,"ACH-001251",NA,NA,NA,NA,NA,"Unknown",NA,"Engineered","Engineered","NOS",NA,NA,"engineered",NA,NA,NA
"HCT116ARID1AKOHD104031","HCT116ARID1AKOHD104031",NA,"HCT116ARID1AKOHD104031_ENGINEERED","HCT116_ARID1A_KO_HD104031","ACH-001268",NA,NA,NA,NA,NA,"Unknown",NA,"Engineered","Engineered","NOS",NA,NA,"large_intestine",NA,NA,"Heterozygous ARID1A knockout"
"HCT116ARID1AKOHD104049","HCT116_ARID1A_KO_HD104049",NA,"HCT116ARID1AKOHD104049_ENGINEERED",NA,"ACH-001269",NA,NA,NA,NA,NA,"Unknown",NA,"Engineered","Engineered","NOS",NA,NA,"engineered",NA,NA,"Homozygous ARID1A knockout"
"HCT116G9B","HCT116G9B",NA,"HCT116G9B_ENGINEERED",NA,"ACH-001082",NA,NA,NA,NA,NA,"Unknown",NA,"Engineered","Engineered","NOS",NA,NA,"engineered",NA,NA,NA
"HCT116PA",NA,NA,"HCT116PA_ENGINEERED",NA,"ACH-001083",NA,NA,NA,NA,NA,"Unknown",NA,"Engineered","Engineered","NOS",NA,NA,"engineered",NA,NA,NA
"HCT15","HCT-15","HCT-15","HCT15_LARGE_INTESTINE",NA,"ACH-000997",905937,"SIDM00789",345,"HCT 15","CVCL_0292","Male",NA,"Gastrointestinal","Colorectal","Adenocarcinoma",NA,"large_intestine","large_intestine",NA,"Primary",NA
"HCT8","HCT8",NA,"HCT8_LARGE_INTESTINE",NA,"ACH-001084",NA,"SIDM00786",346,"HCT 8","CVCL_2478","Male",67,"Gastrointestinal","Colorectal","Adenocarcinoma",NA,"large_intestine","large_intestine",NA,NA,NA
"HDLM2","HDLM-2","HDLM-2","HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000267",924110,"SIDM01064",347,"HDLM-2","CVCL_0009","Male",74,"Lymphoid","Lymphoma","Hodgkin lymphoma",NA,"haematopoietic_and_lymphoid_tissue","pleural_effusion",NA,NA,NA
"HDMAR2","HD-Mar2",NA,"HDMAR2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002063",NA,NA,NA,NA,NA,"Male",NA,"Lymphoid","Lymphoma","Hodgkin lymphoma",NA,NA,"pleural_effusion",NA,"Primary",NA
"HDMB03","HD-MB03",NA,"HDMB03_CENTRAL_NERVOUS_SYSTEM",NA,"ACH-001349",NA,NA,NA,NA,NA,"Male",3,"Nervous system","Medulloblastoma","NOS",NA,NA,"central_nervous_system",TRUE,"Metastasis",NA
"HDMYZ","HD-MY-Z","HD-MY-Z","HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000190",907050,"SIDM01063",348,"HD-MY-Z","CVCL_1273","Male",29,"Myeloid","Myeloid leukemia","Acute myeloid leukemia (AML)",NA,"haematopoietic_and_lymphoid_tissue","pleural_effusion",NA,NA,NA
"HDQP1","HDQ-P1","HDQ-P1","HDQP1_BREAST",NA,"ACH-000643",1290922,"SIDM01062",349,"HDQ-P1","CVCL_2067","Female",50,"Breast","Breast","Ductal","ERneg; HER2neg; Basal A","breast","breast",NA,"Primary",NA
"HEC1","HEC-1","HEC-1","HEC1_ENDOMETRIUM",NA,"ACH-001517",907051,"SIDM00596",NA,NA,NA,"Female",71,"Urogenital","Endometrial","Adenocarcinoma",NA,NA,"endometrium",NA,"Primary",NA
"HEC108","HEC-108",NA,"HEC108_ENDOMETRIUM",NA,"ACH-000990",NA,NA,350,"HEC-108","CVCL_2923","Female",NA,"Urogenital","Endometrial","Adenocarcinoma",NA,"endometrium","endometrium",NA,"Primary",NA
"HEC116","HEC-116",NA,"HEC116_ENDOMETRIUM",NA,"ACH-001518",NA,NA,NA,NA,NA,"Female",NA,"Urogenital","Endometrial","Adenocarcinoma",NA,NA,"endometrium",NA,"Primary",NA
"HEC151","HEC-151",NA,"HEC151_ENDOMETRIUM",NA,"ACH-000972",NA,NA,351,"HEC-151","CVCL_2925","Female",NA,"Urogenital","Endometrial","Adenocarcinoma",NA,"endometrium","endometrium",NA,"Primary",NA
"HEC1A","HEC-1-A",NA,"HEC1A_ENDOMETRIUM",NA,"ACH-000954",NA,"SIDM00595",352,"HEC-1-A","CVCL_0293","Female",71,"Urogenital","Endometrial","Adenocarcinoma",NA,"endometrium","endometrium",NA,"Primary",NA
"HEC1B","HEC-1-B",NA,"HEC1B_ENDOMETRIUM",NA,"ACH-000941",NA,"SIDM01241",353,"HEC-1-B","CVCL_0294","Female",71,"Urogenital","Endometrial","Adenocarcinoma",NA,"endometrium","endometrium",NA,"Primary",NA
"HEC251","HEC-251",NA,"HEC251_ENDOMETRIUM",NA,"ACH-000996",NA,NA,354,"HEC-251","CVCL_2927","Female",NA,"Urogenital","Endometrial","Adenocarcinoma",NA,"endometrium","endometrium",NA,"Primary",NA
"HEC265","HEC-265",NA,"HEC265_ENDOMETRIUM",NA,"ACH-000946",NA,NA,355,"HEC-265","CVCL_2928","Female",NA,"Urogenital","Endometrial","Adenocarcinoma",NA,"endometrium","endometrium",NA,"Primary",NA
"HEC50B","HEC-50B",NA,"HEC50B_ENDOMETRIUM",NA,"ACH-000831",NA,NA,356,"HEC-50B","CVCL_2929","Female",NA,"Urogenital","Endometrial","Adenocarcinoma",NA,"endometrium","ascites",TRUE,"Metastasis",NA
"HEC59","HEC-59",NA,"HEC59_ENDOMETRIUM",NA,"ACH-000994",NA,NA,357,"HEC-59","CVCL_2930","Female",NA,"Urogenital","Endometrial","Adenocarcinoma",NA,"endometrium","endometrium",NA,"Primary",NA
"HEC6","HEC-6",NA,"HEC6_ENDOMETRIUM",NA,"ACH-000984",NA,NA,358,"HEC-6","CVCL_2931","Female",NA,"Urogenital","Endometrial","Squamous cell",NA,"endometrium","endometrium",NA,"Primary",NA
"HEK293",NA,NA,"HEK293_KIDNEY","(DOV13) HEK 293","ACH-001085",NA,NA,NA,NA,NA,"Unknown",NA,"Kidney","Kidney","Renal cell",NA,NA,"kidney",NA,NA,NA
"HEKTE","HEK TE",NA,"HEKTE_KIDNEY",NA,"ACH-000049",NA,NA,NA,NA,NA,"Unknown",NA,"Engineered","Engineered","NOS",NA,NA,"kidney",NA,NA,NA
"HEL","HEL","HEL","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000004",907053,"SIDM00594",362,"HEL","CVCL_0001","Male",30,"Myeloid","Myeloid leukemia","Acute myeloid leukemia (AML)","M6","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,NA
"HEL9217","HEL 92.1.7",NA,"HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000005",NA,"SIDM00593",363,"HEL 92.1.7","CVCL_2481","Male",30,"Myeloid","Myeloid leukemia","Acute myeloid leukemia (AML)","M6","haematopoietic_and_lymphoid_tissue","bone_marrow",NA,NA,NA
"HELA",NA,"HeLa","HELA_CERVIX","HeLa","ACH-001086",1298134,"SIDM00846",364,"HeLa","CVCL_0030","Female",NA,"Urogenital","Cervical","Adenocarcinoma",NA,"","cervix",NA,NA,NA
"HeLaSF","HeLaSF",NA,"HELASF_CERVIX",NA,"ACH-002553",NA,"SIDM01209",NA,NA,NA,"Unknown",NA,"Urogenital","Cervical","NOS",NA,NA,"cervix",NA,NA,NA
"HEMCSS","H-EMC-SS","H-EMC-SS","HEMCSS_BONE",NA,"ACH-001519",907290,"SIDM00535",NA,NA,NA,"Female",77,"Bone","Bone","NOS",NA,NA,"soft_tissue",NA,"Primary",NA
"HEp2","HEp-2",NA,"HEP2_CERVIX",NA,"ACH-002554",NA,"SIDM01208",NA,NA,NA,"Unknown",NA,"Urogenital","Cervical","NOS",NA,NA,"cervix",NA,NA,NA
"HEP3B217","Hep 3B2.1-7","Hep 3B2_1-7","HEP3B217_LIVER",NA,"ACH-000625",1240147,"SIDM00672",365,"Hep 3B2.1-7","CVCL_0326","Male",8,"Gastrointestinal","Liver","Hepatocellular carcinoma",NA,"liver","liver",NA,"Primary",NA
"HEPG2","Hep G2",NA,"HEPG2_LIVER",NA,"ACH-000739",NA,"SIDM00904",366,"Hep-G2","CVCL_0027","Male",15,"Gastrointestinal","Liver","Hepatoblastoma",NA,"liver","liver",NA,"Primary",NA
"HEY","Hey","Hey","HEY_OVARY",NA,"ACH-002140",1479988,"SIDM00968",NA,NA,NA,"Unknown",NA,"Urogenital","Ovarian","High grade serous",NA,NA,"ovary",NA,NA,NA
"HEYA8","Hey-A8",NA,"HEYA8_OVARY",NA,"ACH-000542",NA,"SIDM01215",367,"HEY A8","CVCL_8878","Female",NA,"Urogenital","Ovarian","Low grade serous",NA,"ovary","ascites",TRUE,"Metastasis",NA
"HeyC2","Hey-C2",NA,"HEYC2_OVARY",NA,"ACH-002622",NA,"SIDM01216",NA,NA,NA,"Unknown",NA,"Urogenital","Ovarian","NOS",NA,NA,"Unknown",NA,NA,NA
